cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/357 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "PUT /items/302 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:63364 - "PUT /items/81 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:58975 - "PUT /items/386 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:35198 - "PUT /items/259 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "GET /items/146 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "PUT /items/275 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/293 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "PUT /items/290 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:46530 - "PUT /items/247 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "PUT /items/281 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "PUT /items/16 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/292 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "PUT /items/255 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:35198 - "PUT /items/490 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:46530 - "PUT /items/368 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "PUT /items/447 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "PUT /items/444 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "GET /items/308 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "PUT /items/371 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "GET /items/411 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:46530 - "PUT /items/307 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "PUT /items/426 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "PUT /items/260 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:35198 - "PUT /items/464 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "GET /items/145 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/69 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "PUT /items/247 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "PUT /items/87 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "GET /items/337 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/242 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:46530 - "GET /items/365 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "PUT /items/408 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "PUT /items/500 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "PUT /items/31 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/374 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:46530 - "PUT /items/137 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "PUT /items/128 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "GET /items/368 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/93 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "GET /items/259 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "PUT /items/262 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "GET /items/133 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:46530 - "PUT /items/116 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/347 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "PUT /items/55 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "GET /items/450 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "PUT /items/150 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/386 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:64502 - "PUT /items/231 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:32712 - "PUT /items/87 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51725 - "PUT /items/53 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "PUT /items/346 HTTP/1.1" 200 OK
cache-bench-write-back  | 2026-05-15 12:26:15,457 [INFO] strategies.write_back: Write-Back flush: 50 items -> DB
cache-bench-write-back  | 2026-05-15 12:26:15,457 [INFO] strategies.write_back: Background flush interval=2.0s flushed=50
cache-bench-write-back  | 2026-05-15 12:26:17,506 [INFO] strategies.write_back: Write-Back flush: 50 items -> DB
cache-bench-write-back  | 2026-05-15 12:26:17,507 [INFO] strategies.write_back: Background flush interval=2.0s flushed=50
cache-bench-write-back  | 2026-05-15 12:26:17,646 [INFO] strategies.write_back: Write-Back flush: 50 items -> DB
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "POST /admin/flush HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:17847 - "GET /metrics HTTP/1.1" 200 OK
